actual_dataset,n_estimators,max_samples,contamination,max_features,AUC_ROC
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2940431703255806
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2937208891890025
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2935137084583451
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2940124768840018
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2935904420622923
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2931146937178198
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2933372211692666
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2937592559909761
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.2932835076465035
path_input_fan_id_06,100.0,128.0,0.1,1.0,0.29343697485439796
